date,rchi2_median,removed_total,n_periods,chi_pass_frac
2025-06-22,0.35166333519658044,0,46,1.0
2025-06-23,0.33279135831615625,0,46,1.0
2025-06-24,0.2966199374695625,0,46,1.0
2025-06-25,0.38328960682863367,0,46,1.0
2025-06-26,0.3481306566238669,0,46,1.0
2025-06-27,0.30912539957102525,0,46,1.0
2025-06-28,0.3338018371717524,0,46,1.0
2025-06-29,0.3789619923836113,0,46,1.0
2025-06-30,0.37351334311557094,0,46,1.0
2025-07-01,0.4174871186214042,0,46,1.0
2025-07-02,0.4075562021233772,0,46,1.0
2025-07-03,0.35953541469132383,0,46,1.0
2025-07-04,0.3663494322909155,0,46,1.0
2025-07-05,0.3494711548620756,0,46,1.0
2025-07-06,0.4191181593191,0,46,1.0
2025-07-07,0.32912685555561694,0,46,1.0
2025-07-08,0.38592683726576976,0,46,1.0
2025-07-09,0.35442531411765926,0,46,1.0
2025-07-10,0.3701076255154534,0,46,1.0
2025-07-11,0.38445680937797533,0,46,1.0
2025-07-12,0.4050612351952003,0,46,1.0
2025-07-13,0.37326032060247627,0,46,1.0
2025-07-14,0.29905970672778526,0,46,1.0
2025-07-15,0.3692046831439186,0,46,1.0
2025-07-16,0.3588893868763844,0,46,1.0
2025-07-17,0.3438452213011065,0,46,1.0
2025-07-18,0.35927493437114727,0,46,1.0
2025-07-19,0.3902149291702184,0,46,1.0
2025-07-20,0.43195819262307944,0,46,1.0
2025-07-21,0.3864478195438928,0,46,1.0
2025-07-22,0.3693825791154815,0,46,1.0
2025-07-23,0.3697640028179622,0,46,1.0
2025-07-24,0.365275268182813,0,46,1.0
2025-07-25,0.38824046679765545,0,46,1.0
2025-07-26,0.370677065034691,0,46,1.0
2025-07-27,0.3517358840072032,0,46,1.0
2025-07-28,0.4236721446358438,0,46,1.0
2025-07-29,0.4291802724772093,0,46,1.0
2025-07-30,0.42873593610619243,0,46,1.0
2025-07-31,0.3627704206514575,0,46,1.0
2025-08-01,0.3756683843739037,0,46,1.0
2025-08-02,0.4274099534289564,0,46,1.0
2025-08-03,0.3492744093219504,0,46,1.0
2025-08-04,0.35268671345615554,0,46,1.0
2025-08-05,0.38948440394650063,0,46,1.0
2025-08-06,0.3777940551134399,0,46,1.0
2025-08-07,0.38773827440953657,0,46,1.0
2025-08-08,0.35608953080802813,0,46,1.0
2025-08-09,0.38420603951218635,0,46,1.0
2025-08-10,0.4173658582268167,0,46,1.0
2025-08-11,0.42830305110614647,0,46,1.0
2025-08-12,0.4654424929221074,0,46,1.0
2025-08-13,0.42728803718917685,0,46,1.0
2025-08-14,0.44288517359597246,0,46,1.0
2025-08-15,0.454568077000408,0,46,1.0
2025-08-16,0.44716767472834984,0,46,1.0
2025-08-17,0.4841224913333124,0,46,1.0
2025-08-18,0.4537630118399303,0,46,1.0
2025-08-19,0.40469922523996243,0,46,1.0
2025-08-20,0.39959536874881074,0,46,1.0
2025-08-21,0.4121654278645329,0,46,1.0
2025-08-22,0.4361264439875294,0,46,1.0
2025-08-23,0.4628846583963677,0,46,1.0
2025-08-24,0.4241446801654751,0,46,1.0
2025-08-25,0.4075423641885392,0,46,1.0
