settlement_period,datetime_utc,converged,status,objective_j,dof,chi_threshold,chi_passed,reduced_chi2,measurements_n,removed_n,removed_json,iterations,max_state_update,error
3,2026-06-22T00:00:00Z,True,Converged,141.45230490267298,317,359.5207249007415,True,0.44622178202735957,948,0,[],5,1.1375667240197823e-09,
4,2026-06-22T00:30:00Z,True,Converged,141.52368637145668,317,359.5207249007415,True,0.4464469601623239,948,0,[],5,1.1767078464863466e-09,
5,2026-06-22T01:00:00Z,True,Converged,142.012899680631,317,359.5207249007415,True,0.4479902198127161,948,0,[],5,1.1005233202520324e-09,
6,2026-06-22T01:30:00Z,True,Converged,144.2782607470442,317,359.5207249007415,True,0.45513646923357787,948,0,[],5,1.033648295314726e-09,
7,2026-06-22T02:00:00Z,True,Converged,145.8206497642379,317,359.5207249007415,True,0.46000204972945713,948,0,[],5,1.1456833936556223e-09,
8,2026-06-22T02:30:00Z,True,Converged,133.07194898275415,317,359.5207249007415,True,0.41978532802130647,948,0,[],5,1.663395091431626e-09,
9,2026-06-22T03:00:00Z,True,Converged,146.64089736591674,317,359.5207249007415,True,0.46258958159595187,948,0,[],5,9.969248000032988e-10,
10,2026-06-22T03:30:00Z,True,Converged,145.11246472450955,317,359.5207249007415,True,0.45776802752211215,948,0,[],5,1.4948345475699953e-09,
11,2026-06-22T04:00:00Z,True,Converged,155.16221903045147,317,359.5207249007415,True,0.48947072249353774,948,0,[],5,1.4474325619449792e-09,
12,2026-06-22T04:30:00Z,True,Converged,161.46677542314256,317,359.5207249007415,True,0.5093589130067588,948,0,[],5,1.4547818830552411e-09,
13,2026-06-22T05:00:00Z,True,Converged,164.28012290535608,317,359.5207249007415,True,0.5182338261998615,948,0,[],5,1.4590020923837575e-09,
14,2026-06-22T05:30:00Z,True,Converged,179.75604047449318,317,359.5207249007415,True,0.5670537554400416,948,0,[],5,1.2912808715365073e-09,
15,2026-06-22T06:00:00Z,True,Converged,168.17119153710027,317,359.5207249007415,True,0.5305084906533132,948,0,[],5,4.543717768979749e-09,
16,2026-06-22T06:30:00Z,True,Converged,165.896063442685,317,359.5207249007415,True,0.5233314304185647,948,0,[],5,6.4967952064035636e-09,
17,2026-06-22T07:00:00Z,True,Converged,155.8525829310047,317,359.5207249007415,True,0.4916485265962293,948,0,[],5,4.646168021223644e-09,
18,2026-06-22T07:30:00Z,True,Converged,152.96712084588108,317,359.5207249007415,True,0.48254612254221163,948,0,[],5,3.910859465367485e-09,
19,2026-06-22T08:00:00Z,True,Converged,152.95905735749585,317,359.5207249007415,True,0.4825206856703339,948,0,[],5,3.0617439783472627e-09,
20,2026-06-22T08:30:00Z,True,Converged,153.65475736311964,317,359.5207249007415,True,0.48471532291204933,948,0,[],5,3.126251792018527e-09,
21,2026-06-22T09:00:00Z,True,Converged,156.0878912446517,317,359.5207249007415,True,0.4923908241156205,948,0,[],5,2.6467395580524707e-09,
22,2026-06-22T09:30:00Z,True,Converged,145.65443307825257,317,359.5207249007415,True,0.4594777068714592,948,0,[],5,2.0180038934180625e-09,
23,2026-06-22T10:00:00Z,True,Converged,145.69244599295953,317,359.5207249007415,True,0.45959762142889443,948,0,[],5,2.4960404558131294e-09,
24,2026-06-22T10:30:00Z,True,Converged,150.97781406733216,317,359.5207249007415,True,0.47627070683700995,948,0,[],5,2.6698525168213797e-09,
25,2026-06-22T11:00:00Z,True,Converged,149.9736758319579,317,359.5207249007415,True,0.4731030783342521,948,0,[],5,2.997075518218231e-09,
26,2026-06-22T11:30:00Z,True,Converged,149.43917298504581,317,359.5207249007415,True,0.4714169494796398,948,0,[],5,2.9673097780097513e-09,
27,2026-06-22T12:00:00Z,True,Converged,154.55423466745953,317,359.5207249007415,True,0.4875527907490837,948,0,[],5,3.0493509734077178e-09,
28,2026-06-22T12:30:00Z,True,Converged,159.99405744020834,317,359.5207249007415,True,0.5047131149533386,948,0,[],5,3.071929033698093e-09,
29,2026-06-22T13:00:00Z,True,Converged,166.79486373611107,317,359.5207249007415,True,0.5261667625744829,948,0,[],5,4.6180510416780975e-09,
30,2026-06-22T13:30:00Z,True,Converged,167.3390412020295,317,359.5207249007415,True,0.5278834107319543,948,0,[],5,2.6272195681349934e-09,
31,2026-06-22T14:00:00Z,True,Converged,168.10675145538247,317,359.5207249007415,True,0.5303052096384305,948,0,[],5,1.2415119031317901e-09,
32,2026-06-22T14:30:00Z,True,Converged,150.52671446611672,317,359.5207249007415,True,0.47484767970383823,948,0,[],5,1.6835425357497933e-09,
33,2026-06-22T15:00:00Z,True,Converged,151.87716071191505,317,359.5207249007415,True,0.47910776249815473,948,0,[],5,2.5055770176874606e-09,
34,2026-06-22T15:30:00Z,True,Converged,147.61551145580702,317,359.5207249007415,True,0.4656640739930821,948,0,[],5,1.8590617832237498e-09,
35,2026-06-22T16:00:00Z,True,Converged,148.10766977738578,317,359.5207249007415,True,0.46721662390342517,948,0,[],5,2.634684705956627e-09,
36,2026-06-22T16:30:00Z,True,Converged,148.0460129838658,317,359.5207249007415,True,0.4670221229774947,948,0,[],5,3.2283398159022826e-09,
37,2026-06-22T17:00:00Z,True,Converged,153.26165181850035,317,359.5207249007415,True,0.4834752423296541,948,0,[],5,2.504474691662105e-09,
38,2026-06-22T17:30:00Z,True,Converged,152.4699274510003,317,359.5207249007415,True,0.48097768911987476,948,0,[],5,2.53674844316659e-09,
39,2026-06-22T18:00:00Z,True,Converged,165.4028748235837,317,359.5207249007415,True,0.5217756303583082,948,0,[],5,2.02019687329155e-09,
40,2026-06-22T18:30:00Z,True,Converged,155.06396593737642,317,359.5207249007415,True,0.48916077582768586,948,0,[],5,2.733320047053379e-09,
41,2026-06-22T19:00:00Z,True,Converged,159.73867681831138,317,359.5207249007415,True,0.5039074978495627,948,0,[],5,2.963691704993308e-09,
42,2026-06-22T19:30:00Z,True,Converged,162.39892908389666,317,359.5207249007415,True,0.5122994608324816,948,0,[],5,2.4230233375750396e-09,
43,2026-06-22T20:00:00Z,True,Converged,159.75476372519682,317,359.5207249007415,True,0.5039582451898953,948,0,[],5,2.930532308213581e-09,
44,2026-06-22T20:30:00Z,True,Converged,155.70716945472338,317,359.5207249007415,True,0.4911898090054365,948,0,[],5,3.24580009682392e-09,
45,2026-06-22T21:00:00Z,True,Converged,164.47831236372946,317,359.5207249007415,True,0.5188590295385788,948,0,[],5,3.307415716579724e-09,
46,2026-06-22T21:30:00Z,True,Converged,154.03139562891513,317,359.5207249007415,True,0.4859034562426345,948,0,[],5,4.275482479473571e-09,
47,2026-06-22T22:00:00Z,True,Converged,153.99143117361913,317,359.5207249007415,True,0.4857773854057386,948,0,[],5,4.423102635274513e-09,
48,2026-06-22T22:30:00Z,True,Converged,156.6918002526225,317,359.5207249007415,True,0.4942958998505442,948,0,[],5,4.796451304984241e-09,
