settlement_period,n_measurements,measurements_sha256,recomputed_sha256,match
3,948,82048deee267134bba7ba9c8459e1eadea95a3946d26a52806490dca3e55ad38,82048deee267134bba7ba9c8459e1eadea95a3946d26a52806490dca3e55ad38,True
4,948,ee5341b75ce2df507c6c5b7fb6f101420301fa50aaf853f2a4635405fd972254,ee5341b75ce2df507c6c5b7fb6f101420301fa50aaf853f2a4635405fd972254,True
5,948,a23d9dc92b0a05d912d63fe5cfae85e0f426b61e2109ad808c35081dd8cc8484,a23d9dc92b0a05d912d63fe5cfae85e0f426b61e2109ad808c35081dd8cc8484,True
6,948,c89a0d09bb24673de11eac06f34aef862c73f207a7df03971222a6dd9a7a6ba0,c89a0d09bb24673de11eac06f34aef862c73f207a7df03971222a6dd9a7a6ba0,True
7,948,18f1d5714e431831d468c5d047fc95ecf6508c48b697c2167a0ac1fa66e0876a,18f1d5714e431831d468c5d047fc95ecf6508c48b697c2167a0ac1fa66e0876a,True
8,948,18095d127574ff0d79a6b327d802490b041abe5ad0f79a326ce032b7656f5c3e,18095d127574ff0d79a6b327d802490b041abe5ad0f79a326ce032b7656f5c3e,True
9,948,708de2480159c4fb97542bb2606e82aadb1cd2d3feb4349d118d9b8c2b0981c5,708de2480159c4fb97542bb2606e82aadb1cd2d3feb4349d118d9b8c2b0981c5,True
10,948,9bbed5f1a36cb15771b68d512bb1a93b2c8949b54881f3c15c8e124de55f195f,9bbed5f1a36cb15771b68d512bb1a93b2c8949b54881f3c15c8e124de55f195f,True
11,948,3d9903ab435007931d25266124327ff3157552699d7bbe3d03e398ff7a5e286c,3d9903ab435007931d25266124327ff3157552699d7bbe3d03e398ff7a5e286c,True
12,948,704c1117dcfe4a96717300a6682681b16c61624c5726680031246bbea5d1e8ad,704c1117dcfe4a96717300a6682681b16c61624c5726680031246bbea5d1e8ad,True
13,948,9cc4302e710c05f57dc59bb384fd090b23cfe17bad1ec9dfdd7defa7bdfa8f32,9cc4302e710c05f57dc59bb384fd090b23cfe17bad1ec9dfdd7defa7bdfa8f32,True
14,948,525b03e8071fe994eee5f6b07ad55106afea1382365dac04f657c1341d758db6,525b03e8071fe994eee5f6b07ad55106afea1382365dac04f657c1341d758db6,True
15,948,9c15c95c66439a56265959bcb3d20b465a1429ecdb099f757a6976ad60b6002e,9c15c95c66439a56265959bcb3d20b465a1429ecdb099f757a6976ad60b6002e,True
16,948,d50daa1659c010d5c5f84eaffa1deef39f9f334dc0ca01e47710815adcd1aa85,d50daa1659c010d5c5f84eaffa1deef39f9f334dc0ca01e47710815adcd1aa85,True
17,948,7fb6c9827cb09a9247c2f194a84449c973e707a0ba8dc1ad679f82abd91b5e3d,7fb6c9827cb09a9247c2f194a84449c973e707a0ba8dc1ad679f82abd91b5e3d,True
18,948,5349432151f8a7b59dd7dc98634e9f42455a08bed8c2c63ada62da2a06bdc408,5349432151f8a7b59dd7dc98634e9f42455a08bed8c2c63ada62da2a06bdc408,True
19,948,e49bce474aeb27bb865b9bce7eb949e10dcafed998606e812b8137facd8d71d0,e49bce474aeb27bb865b9bce7eb949e10dcafed998606e812b8137facd8d71d0,True
20,948,d187eb5bb722bdd4da4e077c5d706734ae878f753fff17fb1927c399cd5b085a,d187eb5bb722bdd4da4e077c5d706734ae878f753fff17fb1927c399cd5b085a,True
21,948,e93561248bdc7558556106b64ecd7f3d5b3f7989d54360efc5193fc0c1d2965d,e93561248bdc7558556106b64ecd7f3d5b3f7989d54360efc5193fc0c1d2965d,True
22,948,c0468155e018d0b374240b80b0f65447bb49cde40535d1f6cbc8e7de72187ce7,c0468155e018d0b374240b80b0f65447bb49cde40535d1f6cbc8e7de72187ce7,True
23,948,505e4c9ea7de230b12cf2f0d1d0ee0c1da0e82e78bbe1eac82db8b8641de3fec,505e4c9ea7de230b12cf2f0d1d0ee0c1da0e82e78bbe1eac82db8b8641de3fec,True
24,948,8edf16870f49c415d00573e681ac4de6cf45b0dfc00b42ae0dcf8f5739f0ed4e,8edf16870f49c415d00573e681ac4de6cf45b0dfc00b42ae0dcf8f5739f0ed4e,True
25,948,08258fd013bf61c60bce1a1230d2c2c7a6084d722e2451d22a23c71b8de05fe6,08258fd013bf61c60bce1a1230d2c2c7a6084d722e2451d22a23c71b8de05fe6,True
26,948,15176896cd33effc115e97aa9fc7ad0a483e633a4b122642c541ce295e209a50,15176896cd33effc115e97aa9fc7ad0a483e633a4b122642c541ce295e209a50,True
27,948,9a709926571ccf0cfd247d6c3180f6b794d44160ea15ebbcbe48008e2a5d5f63,9a709926571ccf0cfd247d6c3180f6b794d44160ea15ebbcbe48008e2a5d5f63,True
28,948,d9ef3b500e934ae1a5aca06f7f129397813e9055cfeb9c75d241a179cfc7c96d,d9ef3b500e934ae1a5aca06f7f129397813e9055cfeb9c75d241a179cfc7c96d,True
29,948,159a8266f8022829a656005fdb07de3ce103cb1758d7556b03b7d41d335de382,159a8266f8022829a656005fdb07de3ce103cb1758d7556b03b7d41d335de382,True
30,948,a363a567e245b4d9d22af586672b73636421af816e7c95359615ed8b45da2a6e,a363a567e245b4d9d22af586672b73636421af816e7c95359615ed8b45da2a6e,True
31,948,ffe240634a8777d9d88414b9161f0b73f9e27c382bd8a18183135590ef27abb9,ffe240634a8777d9d88414b9161f0b73f9e27c382bd8a18183135590ef27abb9,True
32,948,2d4c5314e2590b734c8950c17c56b4e653abd99c3f81e91fae34308113081a8c,2d4c5314e2590b734c8950c17c56b4e653abd99c3f81e91fae34308113081a8c,True
33,948,db06d80fe8cd77527abf5647cb51c92a103de38e56822e8b12d34a93aa5026e8,db06d80fe8cd77527abf5647cb51c92a103de38e56822e8b12d34a93aa5026e8,True
34,948,1b8b9b9194fa590e141717d1c0bcb080cf7d1bd36144650aa488204ad2b11019,1b8b9b9194fa590e141717d1c0bcb080cf7d1bd36144650aa488204ad2b11019,True
35,948,57ae607265ac169816facaa78ffd566088a9b72c472d9525dc0d839e18d47bf0,57ae607265ac169816facaa78ffd566088a9b72c472d9525dc0d839e18d47bf0,True
36,948,88dfe0a966f5c599531c5aeaf13264cc8dfd89fa8a84ce5e781f4f8f0809f1ea,88dfe0a966f5c599531c5aeaf13264cc8dfd89fa8a84ce5e781f4f8f0809f1ea,True
37,948,9f6435748fafc6426bc4108bc129b7873bc1b3794e16d091bb2057a55057db36,9f6435748fafc6426bc4108bc129b7873bc1b3794e16d091bb2057a55057db36,True
38,948,aa108828a8e555590339b18aa20cdeee1f681cc56fe4a695bb4d14afb667bcb8,aa108828a8e555590339b18aa20cdeee1f681cc56fe4a695bb4d14afb667bcb8,True
39,948,08dd3dff7913966022bc736ca76ef0346c7d7f40071b1f9f3c0759af37bdb668,08dd3dff7913966022bc736ca76ef0346c7d7f40071b1f9f3c0759af37bdb668,True
40,948,338b7e6a609e564eadc26c1a7ed96293331e58a5aef8f83253f0c2baeac3eb58,338b7e6a609e564eadc26c1a7ed96293331e58a5aef8f83253f0c2baeac3eb58,True
41,948,9ff7cb521ca01091b5734f849beb8e212d0a22a5a5fa8fcaeb36daa0c9477f4f,9ff7cb521ca01091b5734f849beb8e212d0a22a5a5fa8fcaeb36daa0c9477f4f,True
42,948,8d0bcdfe01b3924b8f94d142f711ef4b925c8c2ca1fe70785c1a6b4ba11b66cc,8d0bcdfe01b3924b8f94d142f711ef4b925c8c2ca1fe70785c1a6b4ba11b66cc,True
43,948,74d89fff4af2a127bd7cd8a9cd9c95e246be10923dc10a8708aab4011209a7e2,74d89fff4af2a127bd7cd8a9cd9c95e246be10923dc10a8708aab4011209a7e2,True
44,948,851468136874f54b18de24565acb19f4e301b710f61b37d4d26207087390f7b0,851468136874f54b18de24565acb19f4e301b710f61b37d4d26207087390f7b0,True
45,948,2d74812b5676693ffd6d10e39ce28f5af0559f75dd1675c99f4533c48acea3a2,2d74812b5676693ffd6d10e39ce28f5af0559f75dd1675c99f4533c48acea3a2,True
46,948,eee55b144b0fb38497fab8d3948394bf0d6c951d1071f22782f9d8ce69488fdf,eee55b144b0fb38497fab8d3948394bf0d6c951d1071f22782f9d8ce69488fdf,True
47,948,5e1a423791bda0a84c44b8c46f67a7c8699d03b6b3e91a7c9183924e9a5efdf3,5e1a423791bda0a84c44b8c46f67a7c8699d03b6b3e91a7c9183924e9a5efdf3,True
48,948,fdd4483d7abb96483119ec00250c4461c0f47859734e8459887fd4bda8453919,fdd4483d7abb96483119ec00250c4461c0f47859734e8459887fd4bda8453919,True
